GO.ID	pValue
GO:0051236	0.0041
GO:0060810	0.0041
GO:0006403	0.0052
GO:0008298	0.0063
GO:0007309	0.0067
GO:0007308	0.008
GO:0009448	0.0085
GO:0009880	0.0092
GO:0007351	0.0127
GO:0007028	0.0132
GO:0015931	0.0148
GO:0007315	0.0152
GO:0072132	0.0166
GO:0090131	0.0184
GO:0048925	0.0199
GO:0048882	0.0229
GO:0051205	0.0231
GO:0046835	0.0259
GO:0007021	0.0271
GO:0009994	0.0274
GO:0033619	0.0304
GO:0060485	0.0321
GO:0045048	0.0344
GO:0010248	0.0345
GO:0043545	0.0424
GO:0001822	0.0447
GO:0090130	0.0456
GO:0035845	0.0462
GO:0030537	0.0467
GO:0007294	0.0468
GO:0006457	0.0481
GO:0045185	0.0494
