region	chr	midPos	Nsites
(776,1172)(270388,270801)(250000,300000)	JASDQU010010013.1	275000	398	0.066087
(17,2164)(154312,163289)(150000,200000)	JASDQU010010031.1	175000	2149	0.405697
(1450,1856)(191701,192311)(150000,200000)	JASDQU010010034.1	175000	408	0.018367
(666,1349)(211015,211700)(200000,250000)	JASDQU010010035.1	225000	685	0.088929
(192,216)(128886,128913)(100000,150000)	JASDQU010010040.1	125000	26	0.038357
(217,1115)(343091,343994)(300000,350000)	JASDQU010010040.1	325000	900	0.197057
(558,985)(176403,188476)(150000,200000)	JASDQU010010049.1	175000	429	0.059489
(1924,2390)(153670,154155)(150000,200000)	JASDQU010010054.1	175000	468	0.016370
(156,638)(118525,119086)(100000,150000)	JASDQU010010058.1	125000	484	0.405765
(128,848)(248662,249513)(200000,250000)	JASDQU010010065.1	225000	722	0.388335
(549,668)(75220,75344)(50000,100000)	JASDQU010010068.1	75000	121	0.019226
(135,523)(158930,160342)(150000,200000)	JASDQU010010086.1	175000	390	0.086975
(410,570)(53630,53802)(50000,100000)	JASDQU010010095.1	75000	162	0.470706
(196,947)(320940,325458)(300000,350000)	JASDQU010010118.1	325000	753	0.241051
(2670,2763)(88149,88260)(50000,100000)	JASDQU010010129.1	75000	95	0.168374
(179,483)(50892,51219)(50000,100000)	JASDQU010010137.1	75000	306	0.478901
(927,1783)(57758,58626)(50000,100000)	JASDQU010010145.1	75000	858	0.061063
(636,1584)(250000,268125)(250000,300000)	JASDQU010010146.1	275000	950	0.223775
(1529,2362)(225269,227191)(200000,250000)	JASDQU010010155.1	225000	835	0.295938
(32,472)(335938,336424)(300000,350000)	JASDQU010010181.1	325000	442	0.065053
(1183,2428)(250000,296920)(250000,300000)	JASDQU010010184.1	275000	1247	0.171993
(1876,1903)(148724,148783)(100000,150000)	JASDQU010010186.1	125000	29	0.042998
(2312,2921)(50000,96346)(50000,100000)	JASDQU010010197.1	75000	611	0.210814
(30,310)(129021,129708)(100000,150000)	JASDQU010010218.1	125000	282	0.201746
(6420,6565)(100967,101115)(100000,150000)	JASDQU010010227.1	125000	147	0.072727
(339,1359)(59460,82432)(50000,100000)	JASDQU010010231.1	75000	1022	0.027601
(1360,3026)(302095,303894)(300000,350000)	JASDQU010010231.1	325000	1668	0.216711
(3027,3589)(487308,487979)(450000,500000)	JASDQU010010231.1	475000	564	-0.027818
(3590,3836)(503233,503689)(500000,550000)	JASDQU010010231.1	525000	248	0.008574
(2171,2732)(120029,120597)(100000,150000)	JASDQU010010234.1	125000	563	0.414529
(234,1549)(194116,196473)(150000,200000)	JASDQU010010245.1	175000	1317	0.320984
(329,1147)(56904,62773)(50000,100000)	JASDQU010010265.1	75000	820	0.158566
(121,666)(251372,251923)(250000,300000)	JASDQU010010271.1	275000	547	0.141221
(591,1472)(53704,54594)(50000,100000)	JASDQU010010292.1	75000	883	0.164052
